"% Appropraite ground flora species","value"
0,0
1,0.768392980683158
2,1.54013360592923
3,2.31856507369969
4,3.10702890772024
5,3.90886402424394
6,4.72740571995529
7,5.56598455253453
8,6.42792508373136
9,7.31654445272725
10,8.23515074511675
11,9.18704112002933
12,10.1752451924257
13,11.2013542538821
14,12.2664503337808
15,13.3715993865524
16,14.5178499322376
17,15.7062310324868
18,16.9377500896788
19,18.2133904597578
20,19.5341088696142
21,20.9008326301892
22,22.3144566369755
23,23.7754538927033
24,25.281198137663
25,26.8275868823158
26,28.4105030777996
27,30.0258283415295
28,31.669447541473
29,33.3372537036331
30,35.0251531784953
31,36.7290709965445
32,38.4449563384898
33,40.1687880425785
34,41.8966343937264
35,43.6252328780291
36,45.3517619068673
37,47.0734411262869
38,48.7875279488725
39,50.4913206848192
40,52.1821614242244
41,53.8574386369227
42,55.5145894588915
43,57.1511016372108
44,58.7645151087306
45,60.3524590504551
46,61.9132570739177
47,63.4458271036276
48,64.9491374850966
49,66.4221880563774
50,67.8640095064366
51,69.2736625831737
52,70.6502371550331
53,71.9928511306211
54,73.3006492411423
55,74.5728016907973
56,75.808513885164
57,77.0073517263835
58,78.1692850203987
59,79.2943113746908
60,80.3824329897986
61,81.4336554497521
62,82.4479865292633
63,83.4254350185054
64,84.36600956613
65,85.2697175410128
66,86.1365639130658
67,86.9665553005379
68,87.76000141013
69,88.5176774033914
70,89.2403824030159
71,89.928898286339
72,90.5839898595113
73,91.2064050781294
74,91.7968753092418
75,92.3561156300386
76,92.884825158906
77,93.3836874148674
78,93.8533729737874
79,94.2949056951374
80,94.7100623261601
81,95.1006938510256
82,95.4686297352222
83,95.815679703322
84,96.1436354046153
85,96.4542719610478
86,96.7493493926603
87,97.0306139163945
88,97.299799114702
89,97.5586267630639
90,97.8086012105881
91,98.0506240324324
92,98.2854854519542
93,98.5139711678756
94,98.7368625996683
95,98.9549371042544
96,99.1689681636623
97,99.3797255433126
98,99.5879754206369
99,99.7944804837606
100,100
