"Invasive Plants % Cover","value"
0,100
1,96.6
2,93.13
3,89.6
4,86
5,82.34
6,78.62
7,74.83
8,70.97
9,67.05
10,63.07
11,59.01
12,54.9
13,50.75
14,46.61
15,42.51
16,38.5
17,34.6
18,30.88
19,27.35
20,24.07
21,21.08
22,18.41
23,16.1
24,14.13
25,12.48
26,11.11
27,9.99
28,9.08
29,8.35
30,7.76
31,7.28
32,6.88
33,6.53
34,6.18
35,5.82
36,5.47
37,5.13
38,4.79
39,4.46
40,4.14
41,3.84
42,3.56
43,3.3
44,3.06
45,2.86
46,2.68
47,2.53
48,2.4
49,2.29
50,2.2
51,2.12
52,2.06
53,2
54,1.94
55,1.89
56,1.84
57,1.79
58,1.73
59,1.68
60,1.62
61,1.56
62,1.5
63,1.45
64,1.39
65,1.34
66,1.29
67,1.24
68,1.19
69,1.15
70,1.1
71,1.06
72,1.03
73,0.99
74,0.96
75,0.92
76,0.89
77,0.86
78,0.83
79,0.8
80,0.77
81,0.74
82,0.71
83,0.68
84,0.65
85,0.62
86,0.59
87,0.55
88,0.52
89,0.48
90,0.44
91,0.4
92,0.36
93,0.32
94,0.28
95,0.23
96,0.19
97,0.14
98,0.09
99,0.05
100,0
