"N Veteran Trees per ha","value"
0,0
0.1,1.91618514341168
0.2,3.84527947151543
0.3,5.80025298055698
0.4,7.794030074654
0.5,9.83946538674616
0.6,11.9493165384738
0.7,14.1362127410778
0.8,16.4126180693064
0.9,18.7907881608741
1,21.2827190115861
1.1,23.9000864591934
1.2,26.6541748881668
1.3,29.5557936564799
1.4,32.6132257919703
1.5,35.8115049561576
1.6,39.1209150457187
1.7,42.5116637032158
1.8,45.9542851231139
1.9,49.4198032736713
2,52.8798926983752
2.1,56.3070286019875
2.2,59.6746182278932
2.3,62.9571062561114
2.4,66.1300480156377
2.5,69.1701456105183
2.6,72.0552434951647
2.7,74.7644456669197
2.8,77.2876125345267
2.9,79.6301039860345
3,81.7984383041405
3.1,83.798933287235
3.2,85.6376814728123
3.3,87.3205320657043
3.4,88.8530786005778
3.5,90.2406514694385
3.6,91.4883145436877
3.7,92.6008652142123
3.8,93.5828372605566
3.9,94.4385060405723
4,95.1718955646588
4.1,95.7880146254225
4.2,96.2965234697769
4.3,96.7080345029137
4.4,97.0329247637806
4.5,97.281380630594
4.6,97.4634383162894
4.7,97.5890198787092
4.8,97.6679645441577
4.9,97.710055200874
5,97.725039964288
5.1,97.7226487510168
5.2,97.7126048250716
5.3,97.7046312986975
5.4,97.7078860399885
5.5,97.7249395623886
5.6,97.7541107581247
5.7,97.793646191645
5.8,97.8417919685643
5.9,97.8967946226177
6,97.956901839949
6.1,98.0203630207575
6.2,98.0854296781784
6.3,98.1503556741555
6.4,98.213397291999
6.5,98.2728131452802
6.6,98.326863922732
6.7,98.3738280981889
6.8,98.4129527621996
6.9,98.4449841743987
7,98.4707961765425
7.1,98.491261436997
7.2,98.5072517220502
7.3,98.5196381265252
7.4,98.5292912636045
7.5,98.5370814138066
7.6,98.5438786330737
7.7,98.5505528199435
7.8,98.5579737417876
7.9,98.5670110201068
8,98.5785340748728
8.1,98.5932045055349
8.2,98.6108535515406
8.3,98.6311048868383
8.4,98.6535822284528
8.5,98.6779093856404
8.6,98.7037103014282
8.7,98.7306090865326
8.8,98.7582300456576
8.9,98.7861976961652
9,98.8141367791138
9.1,98.8416722626572
9.2,98.8684293377977
9.3,98.8940334064867
9.4,98.9181491680777
9.5,98.9408960187525
9.6,98.9626864878061
9.7,98.9839377754577
9.8,99.0050668808232
9.9,99.0264906093192
10,99.0486255706002
10.1,99.0718881670231
10.2,99.0966945726295
10.3,99.1234607026422
10.4,99.1526021734618
10.5,99.1845342531578
10.6,99.2196718024358
10.7,99.2584248292747
10.8,99.3009402453393
10.9,99.3469577508646
11,99.3961821039422
11.1,99.448318196227
11.2,99.503071102228
11.3,99.5601461239621
11.4,99.6192488309652
11.5,99.6800850956587
11.6,99.7423611240654
11.7,99.8057834818692
11.8,99.8700591158096
11.9,99.934895370406
12,100
